name_native,locale_id,name_en,Geo Region,summary_en,wikipedia_url_en,image_url,alt_names,how_to_eat_en,tags,Season,Notes,Often Contains,Meal
Bratkartoffeln,de-DE,,Germany,"sliced potatoes, pan-fried until crispy and golden brown",https://en.wikipedia.org/wiki/German_fries,https://upload.wikimedia.org/wikipedia/commons/c/cd/Bratkartoffeln_1024_768.jpg?20080828204349,,,,,Often served as a side dish with meat or sausage.,,Side
Bratwurst,de-DE,,Franconia,"a type of German sausage made with pork, beef, or veal",https://en.wikipedia.org/wiki/Bratwurst,https://upload.wikimedia.org/wikipedia/commons/b/b0/German_Bratw%C3%BCrste.jpg?20130512070711,,,sausage,,,"🐄 Beef,🐖 Pork",Snack (Savory)
Brezen,de-DE,,"Alsace [fr], Bavaria [de]","large, soft pretzels",https://en.wikipedia.org/wiki/Pretzel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Pretzels_01_%285275128740%29.jpg/900px-Pretzels_01_%285275128740%29.jpg?20130129223902,,,,,,⚠️ Wheat,Snack (Savory)
Currywurst,de-DE,,Berlin,"a grilled sausage, served with curry ketchup and often fries",https://en.wikipedia.org/wiki/Currywurst,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/20220430_currywurst.jpg/1600px-20220430_currywurst.jpg?20220916142138,,,sausage,,,🐖 Pork,Snack (Savory)
Döner Kebab,de-DE,,Berlin,"a type of Turkish street food made with meat (usually chicken or beef) that is marinated, stacked on a spit, and then sliced off and served in a pita or flatbread",https://en.wikipedia.org/wiki/Doner_kebab,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/D%C3%B6ner_Kebab_auf_Teller.jpg/1600px-D%C3%B6ner_Kebab_auf_Teller.jpg?20140208115407,doner kebab,,,,,"⚠️ Milk,⚠️ Wheat,🍗 Poultry,🐄 Beef",Snack (Savory)
Eisbein,de-DE,,,"corned ham hock (pork knuckle), usually cured and slightly boiled, traditionally served with sauerkraut and boiled potatoes or pea puree",https://en.wikipedia.org/wiki/Eisbein,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Eisbein-2.jpg/1600px-Eisbein-2.jpg?20100902211309,,,,,see also Schweinshaxe,🐖 Pork,Main
Fischbrötchen,de-DE,,North Sea and Baltic Sea,"a sandwich made with fresh fish, typically herring, served on a bread roll with onions and pickles",https://en.wikipedia.org/wiki/Fischbr%C3%B6tchen,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/GT_Bismarckheringfischbr%C3%B6tchen_2.jpg/1292px-GT_Bismarckheringfischbr%C3%B6tchen_2.jpg?20160306161549,,,sandwich,,,"⚠️ Fish,⚠️ Wheat",Snack (Savory)
Flammekueche,de-DE,,"Alsace, Upper Rhine Valley","a thin, crispy pizza-like dish topped with sour cream, onions, and bacon or other toppings",https://en.wikipedia.org/wiki/Flammekueche,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Flameukeusche_2.jpg/1600px-Flameukeusche_2.jpg?20201111030923,"Flàmmeküeche, Flàmmaküacha, Flammkuche, Flammkuchen [de], tarte flambée [fr]",,,,,"⚠️ Milk,⚠️ Wheat,🐖 Pork",Main
Himmel un Ääd,de-DE,,Rhineland,"black pudding (blood sausage), mashed potatoes, fried onions, and apple sauce",https://en.wikipedia.org/wiki/Himmel_und_Erde,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/2016-01-03_Himmel_und_Erde_anagoria.JPG/1320px-2016-01-03_Himmel_und_Erde_anagoria.JPG?20160301133701,Himmel und Erde,,,,,"🐄 Beef,🐖 Pork",Main
Kaiserschmarrn,de-DE,,Bavaria,"a sweet, shredded pancake dessert, torn into pieces and caramelized",https://en.wikipedia.org/wiki/Kaiserschmarrn,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/2015_0731_Kaiserschmarrn_Apfelso%C3%9Fe_Edelweissh%C3%BCtte_S%C3%B6lden.jpg/1500px-2015_0731_Kaiserschmarrn_Apfelso%C3%9Fe_Edelweissh%C3%BCtte_S%C3%B6lden.jpg?20150814132655,,,,,,"⚠️ Egg,⚠️ Milk,⚠️ Wheat",Snack (Sweet)/Dessert
